repo-url,slug,step-status
https://gitlab.pro.ai/sina/austria-states-symbols.git,template-map-austria-states-symbols,
https://gitlab.pro.ai/sina/bangladesh-districts-circles.git,template-map-bangladesh-districts-bubbles,
https://gitlab.pro.ai/sina/bangladesh-districts.git,template-map-bangladesh-districts-choropleth,
https://gitlab.pro.ai/sina/bangladesh-districts-symbols.git,template-map-bangladesh-districts-symbols,
https://gitlab.pro.ai/sina/belgium-provinces-circles.git,template-map-belgium-provinces-bubbles,
https://gitlab.pro.ai/sina/belgium-provinces.git,template-map-belgium-provinces-choropleth,
https://gitlab.pro.ai/sina/belgium-provinces-symbols.git,template-map-belgium-provinces-symbols,
https://gitlab.pro.ai/sina/brazil-states-circles.git,template-map-brazil-states-bubbles,
https://gitlab.pro.ai/sina/brazil-states.git,template-map-brazil-states-choropleth,
https://gitlab.pro.ai/sina/brazil-states-symbols.git,template-map-brazil-states-symbols,
https://gitlab.pro.ai/sina/california-counties-bubbles.git,template-map-california-counties-bubbles,
https://gitlab.pro.ai/sina/california.git,template-map-california-counties-choropleth,
https://gitlab.pro.ai/sina/california-counties-symbols.git,template-map-california-counties-symbols,
https://gitlab.pro.ai/sina/canada-provinces-and-territories-circles.git,template-map-canada-provinces-and-territories-bubbles,
https://gitlab.pro.ai/sina/canada-provinces-and-territories.git,template-map-canada-provinces-and-territories-choropleth,
https://gitlab.pro.ai/sina/canada-provinces-and-territories-symbols.git,template-map-canada-provinces-and-territories-symbols,
https://gitlab.pro.ai/sina/central-america.git,template-map-central-america-choropleth,
https://gitlab.pro.ai/sina/central-america-countries-circles.git,template-map-central-america-countries-bubbles,
https://gitlab.pro.ai/sina/central-america-countries-symbols.git,template-map-central-america-countries-symbols,
https://gitlab.pro.ai/sina/chile-regions-circles.git,template-map-chile-regions-bubbles,
https://gitlab.pro.ai/sina/chile-regions.git,template-map-chile-regions-choropleth,
https://gitlab.pro.ai/sina/chile-regions-symbols.git,template-map-chile-regions-symbols,
https://gitlab.pro.ai/sina/china-porvinces-master.git,template-map-china-porvinces-master-choropleth,
https://gitlab.pro.ai/sina/china-provinces-circles.git,template-map-china-provinces-bubbles,
https://gitlab.pro.ai/sina/china-provinces-symbols.git,template-map-china-provinces-symbols,
https://gitlab.pro.ai/sina/colombia-departments-circles.git,template-map-colombia-departments-bubbles,
https://gitlab.pro.ai/sina/colombia-departments.git,template-map-colombia-departments-choropleth,
https://gitlab.pro.ai/sina/colombia-departments-symbols.git,template-map-colombia-departments-symbols,
https://gitlab.pro.ai/sina/colorado-counties-bubbles.git,template-map-colorado-counties-bubbles,
https://gitlab.pro.ai/sina/colorado.git,template-map-colorado-counties-choropleth,
https://gitlab.pro.ai/sina/colorado-counties-symbols.git,template-map-colorado-counties-symbols,
https://gitlab.pro.ai/sina/connecticut-counties-bubbles.git,template-map-connecticut-counties-bubbles,
https://gitlab.pro.ai/sina/connecticut.git,template-map-connecticut-counties-choropleth,
https://gitlab.pro.ai/sina/connecticut-counties-symbols.git,template-map-connecticut-counties-symbols,
https://gitlab.pro.ai/sina/czech-republic-regions-circles.git,template-map-czech-republic-regions-bubbles,
https://gitlab.pro.ai/sina/czech-republic-regions.git,template-map-czech-republic-regions-choropleth,
https://gitlab.pro.ai/sina/czech-republic-regions-symbols.git,template-map-czech-republic-regions-symbols,
https://gitlab.pro.ai/sina/delaware-counties-bubbles.git,template-map-delaware-counties-bubbles,
https://gitlab.pro.ai/sina/delaware.git,template-map-delaware-counties-choropleth,
https://gitlab.pro.ai/sina/delaware-counties-symbols.git,template-map-delaware-counties-symbols,
https://gitlab.pro.ai/sina/denmark-provinces-circles.git,template-map-denmark-provinces-bubbles,
https://gitlab.pro.ai/sina/denmark-provinces.git,template-map-denmark-provinces-choropleth,
https://gitlab.pro.ai/sina/denmark-provinces-symbols.git,template-map-denmark-provinces-symbols,
https://gitlab.pro.ai/sina/egypt-governorates.git,template-map-egypt-governorates-choropleth,
https://gitlab.pro.ai/sina/europe-countries-circles.git,template-map-europe-countries-bubbles,
https://gitlab.pro.ai/sina/europe-countries.git,template-map-europe-countries-choropleth,
https://gitlab.pro.ai/sina/europe-countries-symbols.git,template-map-europe-countries-symbols,
https://gitlab.pro.ai/sina/finland-regions-circles.git,template-map-finland-regions-bubbles,
https://gitlab.pro.ai/sina/finland-regions.git,template-map-finland-regions-choropleth,
https://gitlab.pro.ai/sina/finland-regions-symbols.git,template-map-finland-regions-symbols,
https://gitlab.pro.ai/sina/florida-counties-bubbles.git,template-map-florida-counties-bubbles,
https://gitlab.pro.ai/sina/florida.git,template-map-florida-counties-choropleth,
https://gitlab.pro.ai/sina/florida-counties-symbols.git,template-map-florida-counties-symbols,
https://gitlab.pro.ai/sina/france-departments-circles.git,template-map-france-departments-bubbles,
https://gitlab.pro.ai/sina/france-departments.git,template-map-france-departments-choropleth,
https://gitlab.pro.ai/sina/france-departments-symbols.git,template-map-france-departments-symbols,
https://gitlab.pro.ai/sina/georgia-counties-bubbles.git,template-map-georgia-counties-bubbles,
https://gitlab.pro.ai/sina/georgia.git,template-map-georgia-counties-choropleth,
https://gitlab.pro.ai/sina/georgia-counties-symbols.git,template-map-georgia-counties-symbols,
https://gitlab.pro.ai/sina/germany-states-circles.git,template-map-germany-states-bubbles,
https://gitlab.pro.ai/sina/germany-states.git,template-map-germany-states-choropleth,
https://gitlab.pro.ai/sina/germany-states-symbols.git,template-map-germany-states-symbols,
https://gitlab.pro.ai/sina/greece-regions-circles.git,template-map-greece-regions-bubbles,
https://gitlab.pro.ai/sina/greece-regions.git,template-map-greece-regions-choropleth,
